x,y,color
9.22371582031,-1.6496826171899999,1
13.2010058594,-1.64280761719,1
17.197109375,-1.6783642578100002,1
21.214033203099998,-1.7117333984399998,1
25.255712890599998,-1.6890771484399998,1
29.3263671875,-1.5407763671899999,1
33.4254980469,-1.17048339844,1
37.5352783203,-0.438662109375,1
41.6079248047,0.86220703125,1
45.444702148400005,2.97376953125,1
48.696616210900004,5.90017089844,1
51.3433349609,9.3119140625,1
53.2124853516,13.3067529297,1
53.964165039099996,17.7083984375,1
53.5888232422,22.0761328125,1
52.5374853516,26.0695068359,1
51.720405273400004,29.8379199219,1
50.8490771484,33.872124023400005,1
49.3645068359,37.9255908203,1
47.170122070299996,41.6214453125,1
43.5059423828,44.6293212891,1
39.4345654297,46.212275390600006,1
35.429375,47.20711914060001,1
31.4419238281,47.9772851562,1
27.500112304699996,48.690590820299995,1
23.644555664099997,49.4832666016,1
19.9873876953,50.514677734399996,1
16.75265625,52.060185546899994,1
13.902563476600001,54.3227636719,1
11.3196533203,57.1281835938,1
8.68247070313,60.2297021484,1
5.29622558594,63.1481787109,1
0.785166015625,64.6392871094,1
-3.54345703125,64.6010546875,1
-7.65846191406,63.9790478516,1
-11.5935375977,63.182426757799995,1
-15.3724169922,62.5845849609,1
-18.861318359400002,62.668828125,1
-22.3914599609,63.6624609375,1
-25.4830688477,65.35594726560001,1
-27.9416674805,67.81359375,1
-29.7038037109,70.9448828125,1
-31.0810351562,74.57407226560001,1
-32.7071459961,78.4795703125,1
-35.3815820312,82.1355078125,1
-39.0737036133,84.73059570310001,1
-43.1480126953,86.2784570312,1
-47.428862304700004,86.9967871094,1
-51.8406005859,86.7725488281,1
-56.1337207031,85.28661132810001,1
-59.67265625,82.3816796875,1
-62.2497802734,78.9751806641,1
-64.254375,75.1997705078,1
-65.6338378906,71.1554443359,1
-66.3582128906,66.9472949219,1
-66.4171777344,62.6802197266,1
-65.4296923828,58.1128710938,1
-62.17764648439999,54.5944140625,1
-58.802373046899994,52.416943359399994,1
-55.83940429689999,50.10555664060001,1
-53.3572412109,47.407114257799996,1
-51.2515283203,44.307109375,1
-49.4397119141,40.8253662109,1
-48.2567578125,37.393188476599995,1
-47.8052587891,33.8147167969,1
-48.1393994141,30.1827880859,1
-49.0830322266,26.4943652344,1
-50.2544238281,22.627099609400002,1
-51.0381054688,18.3684472656,1
-50.6010546875,13.869077148399999,1
-48.756826171899995,9.80973144531,1
-46.018393554700005,6.3009765625,1
-42.9259130859,3.3861865234400006,1
-39.3820605469,1.00080078125,1
-35.4632495117,-0.747465820312,1
-31.330268554699998,-1.82767089844,1
-27.177128906300002,-2.32954589844,1
-23.0584057617,-2.4583740234400002,1
-19.1534350586,-2.53469238281,1
-15.0699536133,-2.53323730469,1
