x,y,color
9.20107910156,-1.6497705078100002,1
12.8793847656,-2.05073730469,1
16.7899121094,-2.7450830078099995,1
20.727285156300002,-3.4934521484400003,1
24.7139697266,-4.202944335940001,1
28.809785156300002,-4.740952148440001,1
33.2456005859,-4.50215332031,1
37.2735302734,-3.4193408203099995,1
41.1714208984,-2.0768994140599997,1
44.9631591797,-0.59396484375,1
48.715004882799995,1.02724121094,1
52.3992333984,2.80271484375,1
56.1183056641,5.0083154296900005,1
58.784682617200005,9.09016601562,1
59.781616210900005,13.2715625,1
60.304497070299995,17.3542675781,1
60.619506835900005,21.4175488281,1
60.8366259766,25.438784179699997,1
61.0544482422,29.393613281300002,1
61.2684228516,33.427368164099995,1
61.349975585900005,37.5221044922,1
61.1268212891,41.7028125,1
60.1773583984,46.0211767578,1
57.419135742200005,49.9530859375,1
53.2981689453,52.193203125,1
48.8147314453,52.795302734399996,1
44.4755029297,52.22567382810001,1
40.4639306641,50.8707421875,1
36.7137353516,49.2205273437,1
33.0698242188,47.5419677734,1
29.4441015625,45.9318261719,1
25.8346289062,44.521142578100005,1
22.2431933594,43.559067382799995,1
19.2129736328,43.8529589844,1
16.3126123047,45.5097705078,1
14.423925781300001,48.0370703125,1
14.0452001953,51.0179736328,1
15.208935546900001,54.189453125,1
17.1524316406,57.49471679689999,1
19.3999511719,60.658012695299995,1
21.8713037109,63.652358398400004,1
24.5580566406,66.4020556641,1
27.4532226563,68.6690234375,1
30.3203417969,69.6458056641,1
33.7015429687,69.15506347659999,1
37.3396240234,67.88762695310001,1
41.2391650391,66.4936230469,1
45.7916162109,65.8375097656,1
50.0876708984,66.77909179689999,1
54.042846679700006,68.3598144531,1
57.7497509766,70.5902099609,1
60.9618115234,73.8267578125,1
62.3781396484,78.5264208984,1
61.884155273400005,82.9246386719,1
60.6410498047,86.9982617188,1
58.8423486328,90.8654492188,1
56.3161181641,94.407890625,1
53.0031884766,97.33716796879999,1
48.9133740234,99.2749804688,1
44.4236572266,99.8278613281,1
40.1649951172,99.2633398438,1
36.1173144531,98.1757910156,1
32.2278515625,96.6940039063,1
28.4870410156,94.8718847656,1
24.9384033203,92.7656054687,1
21.551225585900003,90.378515625,1
18.4014941406,87.6381054687,1
15.5435986328,84.694921875,1
12.8382470703,81.6614990234,1
10.216591796900001,78.5907714844,1
7.63404785156,75.5172460938,1
5.0535839843699994,72.4721484375,1
2.43453125,69.49463378909999,1
-0.273247070313,66.6629052734,1
-3.09077148438,64.2270898438,1
-6.247194824219999,62.376357421899996,1
-9.57108154297,61.2664599609,1
-12.7558984375,61.3673828125,1
-15.4576586914,62.924462890600005,1
-18.2221655273,65.8048730469,1
-21.4584008789,68.5054589844,1
-25.024855957,70.7916943359,1
-29.0502050781,72.5070947266,1
-33.3770800781,73.2214941406,1
-37.8486328125,72.8590039062,1
-42.1584912109,70.725625,1
-44.7796923828,66.7801757812,1
-46.0897363281,62.702036132799996,1
-46.7950927734,58.522802734399995,1
-46.898110351599996,54.2316015625,1
-45.935703125,49.7567675781,1
-43.5015673828,46.011123046899996,1
-40.7285449219,42.9598632813,1
-38.1274707031,40.0852734375,1
-36.2980810547,37.1776025391,1
-35.6781494141,33.8347949219,1
-35.907592773400005,30.163774414099997,1
-36.5889672852,26.310834960900003,1
-37.2691186523,22.2537255859,1
-38.373969726599995,19.1010107422,1
-40.2439746094,15.300131835899998,1
-40.9775341797,10.7514990234,1
-40.4257763672,6.486806640619999,1
-39.3212402344,2.43438476562,1
-37.7682324219,-1.6456201171899998,1
-33.640952148400004,-4.84925292969,1
-29.337778320300004,-5.305932617190001,1
-25.311166992199997,-5.48718261719,1
-21.1570239258,-5.37515136719,1
-17.0786328125,-5.02888183594,1
-13.0473535156,-4.55388183594,1
-9.04464355469,-3.9990966796900005,1
-5.06431884766,-3.3957080078099997,1
-1.11601074219,-2.77284667969,1
2.87109375,-2.15869628906,1
9.20975097656,1.85021484375,0
13.4305957031,1.4055859375,0
17.4382128906,0.694350585937,0
21.373808593699998,-0.0536865234375,0
25.2774169922,-0.7485888671879999,0
29.1040527344,-1.25333496094,0
32.5394970703,-1.07412597656,0
36.2216552734,-0.0811376953125,0
39.9568701172,1.20560546875,0
43.6313427734,2.64274414063,0
